Product.Name,SAP,Melt.Point,Hot.Tensile,Cold.Tensile,GFN.Raw,GFN.Coated,LOI,Lake,KFB,IO,eco
CC EcoFlo BinghamT 70-2.75,380732,224,277,NA,70.7,NA,2.9,NA,NA,NA,Yes
CC EcoFlo Canfield 80-3.75,380796,202,481,NA,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo Carpbros 60-1.75,380482,224,NA,NA,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo Charpipe 75L-3.25,380307,232,292,368,NA,NA,3.43,Yes,NA,NA,Yes
CC EcoFlo Conbraco 80-3.0,380364,211,310,NA,NA,NA,3,NA,NA,NA,Yes
CC EcoFlo Dee 70-2.75,380336,220,270,NA,NA,NA,NA,NA,Yes,NA,Yes
CC EcoFlo Garmi 45-1.6,380662,213,248,390,NA,NA,1.95,NA,NA,NA,Yes
CC EcoFlo Garmi 80-1.5,380663,218,166,375,NA,73.8,1.74,NA,NA,NA,Yes
CC EcoFlo GredeB 60-3.25,380339,217,323,NA,68.3,59.2,3.41,NA,NA,NA,Yes
CC EcoFlo HAI 60C-2.5,380591,224,337,NA,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo HAI 70A-2.75,380579,230,443,NA,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo HAI 80-3.75,380456,223,395,NA,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo Hastings 80-5.0,380495,214,416,554,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo Hegedus 60-1.5,380657,226,162,NA,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo Hegedus 60-2.5,380658,220,259,NA,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo Kingsbry 70R-4.75,380721,199,336,487,NA,66.6,6.07,NA,NA,NA,Yes
CC EcoFlo LSM 55-2.6,380308,217,282,NA,NA,NA,NA,NA,NA,NA,Yes
CC EcoFlo Miller 60-3.5,380807,228,400,461,NA,56.5,3.67,NA,NA,NA,Yes
CC EcoFlo Piedmont 80-2.25,380630,221,NA,NA,NA,NA,NA,NA,Yes,NA,Yes
CC EcoFlo QualCast 60-3.0,380799,219,355,485,60.5,NA,3.2,NA,NA,NA,Yes
CC EcoFlo TH MFG 60-3.0,380505,230,258,NA,54.4,NA,3.13,NA,NA,NA,Yes
CC EcoFlo Tyler 80-4.0,380017,219,456,692,78.3,NA,4.07,NA,NA,NA,Yes
CC EcoFlo US Pipe 65-4.75,380461,227,533,NA,64.8,NA,4.9,NA,NA,NA,Yes
CC EcoFlo US Pipe 80-3.75,380301,223,412,523,76,NA,4.05,NA,NA,NA,Yes
CC EcoFlo US Pipe 80-4.0,380471,221,434,569,77.2,NA,4.15,NA,NA,NA,Yes
CC EcoFlo US Pipe 80-4.5,380656,220,476,583,76.3,NA,4.61,NA,NA,NA,Yes
CC EcoFlo Wescast 70-4.0B,380481,224,266,440,69.1,NA,4,NA,NA,Yes,Yes
CC60225H,380130,220,340,NA,NA,57.7,2.55,NA,NA,NA,NA
CCE6L30,380131,211,348,NA,NA,NA,NA,Yes,NA,NA,Yes
Custom Coat AAM 70-2.4,380473,219,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat AC Fdy 40L-1.1,370593,210,204,NA,NA,NA,NA,Yes,Yes,NA,NA
Custom Coat Accurate 65B-4.5,367648,203,452,600,NA,58.3,5.63,Yes,NA,NA,NA
Custom Coat Accurate 65B-4.5W,368356,199,430,579,NA,57.5,5.54,Yes,NA,NA,NA
Custom Coat Accurate 80-3.0,367650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Alcast 100-3.0,368092,230,294,381,NA,81.3,3.27,NA,NA,NA,NA
Custom Coat AlmAlloy 80-2.5,363683,204,346,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Atlas 35-2.75,367861,226,506,587,NA,32.9,3.02,NA,NA,NA,NA
Custom Coat Atlas 60-3.0,369524,220,435,515,NA,55.8,3.27,NA,NA,NA,NA
Custom Coat BinghamT 70-2.5,380034,220,287,NA,71,NA,2.77,NA,NA,NA,NA
Custom Coat Brembo 60-1.5,380772,209,102,151,NA,58.8,1.76,NA,NA,NA,NA
Custom Coat Brembo 60-1.6,380708,207,179,NA,NA,NA,1.88,NA,NA,NA,NA
Custom Coat Bremen 60-2.5,365174,217,340,490,NA,57.7,2.81,NA,NA,NA,NA
Custom Coat Cadillac 60-2.75,367018,219,265,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Canfield 57L-2.0,366287,214,235,NA,NA,NA,NA,Yes,NA,NA,NA
Custom Coat Canfield 60-2.5R,380293,222,315,442,61.5,54.8,2.86,NA,NA,Yes,NA
Custom Coat Canfield 60-2.75H,380233,222,302,484,NA,NA,2.97,NA,NA,NA,NA
Custom Coat Canfield 60-5.0,380035,223,654,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Canfield 70L-4.5R,380707,218,523,638,NA,57.1,5.11,Yes,NA,Yes,NA
Custom Coat Canfield 80-2.5,380787,207,354,NA,NA,NA,NA,NA,NA,NA,NA
Custom Coat Canfield 80-2.5B,380079,216,305,586,82.6,NA,2.79,NA,NA,Yes,NA
Custom Coat CAPT 40L-1.0 WP,367857,208,173,272,NA,NA,1.41,Yes,Yes,NA,NA
